Name,timestamp,Type,year,Total_amt_of_sale,maximum_sale_category,avg_discount,no_of_customers_visited,no_of_products_sold,duration_days,platform,campaign_budget,conversion_rate,returning_customers_percent,click_through_rate,impressions,payment_mode_used,avg_session_time,customer_rating_avg,top_selling_product
Flipkart Flash Sale in 2022,18/11/2022,Summer Sale,2022,7050367.25,,64.41,1796,3942,2,Whatsapp,5608000,3.53,36.13,4.78,114941,COD,11.16,3.07,
Flipkart Flash Sale in 2022,01/10/2022,Monsoon Sale,2022,9494753.8,,N/A,unknown,7527,4,Instagram,5891000,3.45,19.27,0.67,22940,paytm,13.01,4.09,Laptop
Flipkart Deal of the Day in 2020,07/02/2020,Clearance Sale,2020,6675705.63,Beauty,26.67,unknown,6645,7,Twitter,5626000,1.61,30.25,2.07,318824,paytm,8.57,4.63,Washing Machine
Flipkart Festive Sale in 2020,21/08/2020,GOAT Sale,2020,4755311.97,electrnics,N/A,40464,5340,6,Facebook,9038000,4.33,45.78,3.38,36324,Cash on Delivery,11.83,3.5,Toys
Flipkart GOAT Sale in 2022,27/08/2022,Clearance Sale,2022,,Home,,13848,1222,2,flipkart,982000,2.37,10.11,1.84,182215,Wallet,12.46,2.7,Smartphone
Flipkart Flash Sale in 2024,13/06/2024,No Cost EMI Sale,2024,5560063.29,Home,,unknown,1368,2,Flipkart App,8147000,4.53,55.95,3.93,190253,Cash on Delivery,9.59,3.08,Perfume
Flipkart Summer Sale in 2024,13/01/2024,No Cost EMI Sale,2024,1642603.36,Home,,unknown,9713,1,Facebook,8094000,2.05,63.92,3.84,799558,Wallet,8.04,4.95,Books
Flipkart Flash Sale in 2023,2023-01-22,Flash Sale,2023,4991825.25,Electronics,56.47,unknown,2682,5,FACEBOOK,2302000,3.46,69.84,1.78,184708,paytm,3.55,2.62,Washing Machine
Flipkart Winter Sale in 2024,30/05/2024,Big Billion Days Sale,2024,6795548.85,fashon,,unknown,8556,6,Email,2766000,0.35,67.32,3.59,944407,UPI,12.95,3.9,Toyz
Flipkart Summer Sale in 2025,14/08/2025,,2025,327865.98,Books,N/A,11368,5331,7,Instagram,3308000,1.95,27.74,4.79,57998,UPI,10.48,2.85,Books
Flipkart Winter Sale in 2021,24/05/2021,Festive Sale,2021,4749525.68,Sports,,unknown,928,1,Flipkart App,3809000,2.63,66.67,3.44,97039,Cash on Delivery,6.19,3.08,Perfume
Flipkart Big Billion Days Sale in 2024,16/02/2024,Big Billion Days Sale,2024,9749173.93,Groceries,N/A,unknown,704,4,Flipkart App,8634000,4.5,13.74,1.26,662219,Cash on Delivery,7.85,2.9,Books
Flipkart Festive Sale in 2023,2023-11-25,Summer Sale,2023,3446700.15,Home,,unknown,6881,3,Twitter,7412000,4.93,18.44,4.62,878614,Credit Card,14.17,4.32,smrtphone
Flipkart Big Billion Days Sale in 2021,21/11/2021,Winter Sale,2021,8752001.51,electrnics,N/A,42561,6604,2,FACEBOOK,8554000,2.2,46.96,4.2,694087,UPI,8.99,2.75,Smartphone
Flipkart Festive Sale in 2022,03/09/2022,GOAT Sale,2022,606575.23,Electronics,N/A,unknown,3259,5,Twitter,2405000,4.33,33.44,4.98,193522,paytm,5.45,3.66,Washing Machine
Flipkart GOAT Sale in 2020,17/08/2020,Clearance Sale,2020,724262.91,Toys,N/A,unknown,8105,2,flipkart,9399000,3.59,48.35,1.37,21254,Cash on Delivery,7.45,4.23,book
Flipkart Winter Sale in 2025,10/11/2025,No Cost EMI Sale,2025,3105924.51,Groceries,,unknown,8109,2,flipkart,7736000,0.64,35.64,3.98,886763,COD,12.85,4.18,Toyz
Flipkart Big Billion Days Sale in 2021,12/03/2021,Monsoon Sale,2021,,Groceries,N/A,42613,5457,3,Facebook,8478000,1.76,63.26,,602397,Cash on Delivery,14.5,3.84,Shoes
Flipkart Deal of the Day in 2025,14/11/2025,Clearance Sale,2025,1012861.72,fashon,,17926,7961,3,Instagram,5650000,3.71,24.84,1.2,650628,Cash on Delivery,4.71,3.82,Laptop
Flipkart Flash Sale in 2024,29/11/2024,No Cost EMI Sale,2024,1303453.11,Toys,N/A,unknown,9667,7,Whatsapp,3229000,3.91,22.32,1.76,925303,Credit card,5.18,4.89,Books
Flipkart GOAT Sale in 2023,16/01/2023,Festive Sale,2023,7815773.3,Fashion,41.54,25389,1667,6,Facebook,2906000,0.34,79.09,3.89,142556,Wallet,8.77,4.15,Books
Flipkart Festive Sale in 2021,06/03/2021,Deal of the Day,2021,4612542.78,Electronics,N/A,15355,6271,5,FACEBOOK,4310000,2.34,73.77,0.57,119264,UPI,13.81,3.38,smrtphone
Flipkart Monsoon Sale in 2021,2021-10-30,No Cost EMI Sale,2021,1792309.83,Beauty,30.91,unknown,6379,2,Twitter,4195000,2.91,76.92,0.91,194949,paytm,9.28,3.08,Toys
Flipkart Summer Sale in 2021,26/04/2021,Deal of the Day,2021,4335883.97,,6.88,35858,4913,7,Twitter,1056000,1.3,36.25,4.69,889415,Cash on Delivery,10.13,2.66,Toys
Flipkart No Cost EMI Sale in 2024,27/06/2024,Deal of the Day,2024,8210802.3,Beauty,69.22,unknown,1247,6,Whatsapp,1443000,2.83,35.43,1.45,755120,UPI,5.5,4.77,Laptop
Flipkart Flash Sale in 2020,23/05/2020,GOAT Sale,2020,570588.68,Books,,unknown,1156,7,Twitter,,4.7,70.97,1.18,294526,Credit Card,2.54,2.8,Shoes
Flipkart Flash Sale in 2025,10/04/2025,Big Billion Days Sale,2025,6616047.56,Electronics,41.73,39829,1160,7,Facebook,6187000,2.97,19.03,1.9,313860,Cash on Delivery,10.34,4.71,Headphones
Flipkart Monsoon Sale in 2024,06/09/2024,No Cost EMI Sale,2024,9792684.54,fashon,N/A,29434,2754,1,Whatsapp,7242000,3.46,39.43,2.26,832558,paytm,7.79,3.49,Books
Flipkart Clearance Sale in 2025,2025-10-10,Flash Sale,2025,9432363.95,Toys,45.12,unknown,1089,3,Whatsapp,3816000,1.74,76.35,2.5,154497,Credit Card,1.17,3.78,Shoes
Flipkart Deal of the Day in 2024,13/05/2024,Festive Sale,2024,9820308.97,Fashion,,unknown,7664,5,Facebook,3064000,1.49,17,3.18,678912,Debit Card,11.4,4.1,Shoes
Flipkart Big Billion Days Sale in 2021,02/06/2021,Festive Sale,2021,,,N/A,10758,9644,4,FACEBOOK,4444000,4.09,79.54,2.87,76344,COD,7.69,3.8,Smartphone
Flipkart Deal of the Day in 2020,12/12/2020,Summer Sale,2020,7290696.29,Home,,4094,7255,5,Whatsapp,1587000,3.04,44.47,2.94,545393,UPI,6.4,3.81,Books
Flipkart Summer Sale in 2025,28/01/2025,Summer Sale,2025,2371533.18,Sports,N/A,4510,7917,7,flipkart,8007000,3.04,12.11,3.78,287632,paytm,1.21,4.03,smrtphone
Flipkart Monsoon Sale in 2025,12/10/2025,Flash Sale,2025,,,N/A,unknown,8981,7,Facebook,2447000,0.94,17.05,0.84,725266,Credit card,9.98,4.71,Headphones
Flipkart Festive Sale in 2020,05/05/2020,No Cost EMI Sale,2020,1360969.45,Home,54.6,unknown,4197,5,Twitter,4567000,2.09,25.02,1.28,72063,Debit Card,11.6,3.03,Washing Machine
Flipkart Winter Sale in 2023,08/09/2023,Festive Sale,2023,2757325.03,Electronics,N/A,unknown,9213,5,Twitter,6029000,0.84,16.23,2.31,696019,UPI,12.47,3.43,Laptop
Flipkart Deal of the Day in 2024,03/06/2024,Big Billion Days Sale,2024,207631.94,Electronics,N/A,unknown,2887,1,Whatsapp,2104000,2.18,16.03,0.53,213803,Wallet,7.79,4.61,Toyz
Flipkart Deal of the Day in 2021,04/03/2021,Big Billion Days Sale,2021,5544604.41,,52.06,29188,2707,5,FACEBOOK,2848000,1.28,57.67,2.69,221917,COD,12.32,4.11,smrtphone
Flipkart Flash Sale in 2025,04/06/2025,Clearance Sale,2025,6593075.26,Sports,N/A,unknown,715,1,Facebook,1525000,2.91,16.59,0.54,698369,COD,14.11,4.35,Washing Machine
Flipkart Flash Sale in 2024,19/06/2024,Big Billion Days Sale,2024,233975.12,electrnics,9.73,34198,2048,4,Whatsapp,5095000,1.97,65.83,3.96,863098,UPI,13.75,2.74,Smartphone
Flipkart No Cost EMI Sale in 2024,27/01/2024,GOAT Sale,2024,1980033.89,Electronics,N/A,40084,7037,4,Instagram,597000,1.16,41.83,3.55,68191,Wallet,3.96,2.93,Laptop
Flipkart Winter Sale in 2020,12/01/2020,Flash Sale,2020,1375296.93,Toys,19.49,40979,1970,4,Facebook,5778000,1.84,57.86,0.96,603885,Wallet,5.41,4.21,Books
Flipkart Big Billion Days Sale in 2025,05/02/2025,Summer Sale,2025,2380255.36,Books,,41745,8497,6,Facebook,7406000,2.35,44.46,4.88,806963,Cash on Delivery,3.55,4.03,Laptop
Flipkart Clearance Sale in 2025,17/05/2025,Monsoon Sale,2025,9665828.8,Fashion,17.32,2275,8942,6,Instagram,4699000,1.65,74.4,3.2,194291,Cash on Delivery,4.93,4.88,Books
Flipkart GOAT Sale in 2023,12/12/2023,GOAT Sale,2023,9606325.4,Home,,unknown,4709,1,Flipkart App,4021000,2.78,36.84,1.17,241993,Wallet,3.09,4.33,Perfume
Flipkart No Cost EMI Sale in 2020,10/02/2020,Monsoon Sale,2020,617898.27,Groceries,,3357,1338,4,Facebook,565000,1.41,36.06,3.65,515333,paytm,6.87,3.88,Headphones
Flipkart Monsoon Sale in 2022,18/05/2022,Summer Sale,2022,9697395.18,Beauty,,unknown,7148,3,flipkart,4200000,0.33,73.27,3.58,126522,Wallet,10.61,2.65,Shoes
Flipkart Festive Sale in 2020,01/09/2020,Winter Sale,2020,6170759.77,,N/A,15689,7962,4,flipkart,4366000,3.71,33.04,1.88,488452,Cash on Delivery,8.37,4.61,Laptop
Flipkart Big Billion Days Sale in 2022,17/12/2022,Festive Sale,2022,5391775.21,fashon,N/A,38511,8162,3,flipkart,2557000,4.08,68.87,2.53,991262,Cash on Delivery,2.97,4.33,Toyz
Flipkart Flash Sale in 2025,20/07/2025,No Cost EMI Sale,2025,1964032.49,Books,,unknown,6091,4,FACEBOOK,2541000,3.29,77.3,,611585,Wallet,6.43,2.69,Toys
Flipkart No Cost EMI Sale in 2020,18/06/2020,Winter Sale,2020,1446416.98,,,14691,3066,3,flipkart,9610000,1.1,24.05,1.8,256657,Wallet,8.38,4.44,Washing Machine
Flipkart No Cost EMI Sale in 2021,2021-01-13,Flash Sale,2021,6952510.7,Sports,49.17,6200,9180,4,Flipkart App,8396000,0.8,79.59,0.93,922222,Credit Card,6.27,4.03,Toys
Flipkart Festive Sale in 2022,19/03/2022,Winter Sale,2022,4834549.05,Fashion,10.38,19660,2147,4,Flipkart App,2329000,2.06,12.74,4.59,686059,Credit Card,7.31,4.45,Toyz
Flipkart Clearance Sale in 2020,01/05/2020,Flash Sale,2020,4237158.2,Fashion,9.11,unknown,9904,6,Twitter,9239000,1.12,64.72,1.83,441178,paytm,7.78,4.99,Headphones
Flipkart Flash Sale in 2025,13/09/2025,Summer Sale,2025,5163960.3,fashon,N/A,20787,7014,5,Flipkart App,2361000,3.28,18.1,3.38,923212,Wallet,10.85,3.05,Laptop
Flipkart Flash Sale in 2022,30/11/2022,,2022,5713757.04,Sports,42.83,unknown,6868,2,Twitter,7463000,1.64,53.77,2.34,333489,COD,10.36,4.4,Washing Machine
Flipkart Big Billion Days Sale in 2024,20/01/2024,,2024,183667.19,,N/A,unknown,1093,5,FACEBOOK,6582000,4.85,71.85,3.37,67282,Credit card,3.75,3.14,Headphones
Flipkart Clearance Sale in 2024,28/06/2024,Clearance Sale,2024,2063148.54,Electronics,,unknown,8664,3,Instagram,2696000,0.58,20.54,3.32,124495,UPI,7.19,3.23,smrtphone
Flipkart Monsoon Sale in 2021,21/02/2021,Big Billion Days Sale,2021,,Toys,61.26,unknown,1263,5,Email,4665000,1.35,31.88,1.5,367946,Debit Card,7.5,4.58,Shoes
Flipkart Deal of the Day in 2021,15/09/2021,Big Billion Days Sale,2021,9358018.25,Electronics,,unknown,5151,1,FACEBOOK,2396000,1.81,11.56,1.05,37510,COD,7.05,4.12,Toyz
Flipkart Big Billion Days Sale in 2021,02/04/2021,Monsoon Sale,2021,6782100.13,Beauty,N/A,unknown,3213,6,FACEBOOK,1505000,2.83,42.53,2.99,716723,Credit Card,6.01,4.94,Smartphone
Flipkart Festive Sale in 2022,2022-07-15,Monsoon Sale,2022,5888136.18,Books,63.43,unknown,9271,3,Twitter,4450000,3.01,51.92,,32298,UPI,1.04,3.64,Perfume
Flipkart Monsoon Sale in 2020,05/05/2020,Monsoon Sale,2020,9765328.23,Electronics,57.57,unknown,9251,7,Whatsapp,9597000,1.52,71.33,2.34,950991,UPI,11.29,3.6,Perfume
Flipkart Summer Sale in 2020,06/11/2020,Summer Sale,2020,7612234.43,Books,N/A,unknown,7340,7,Twitter,4722000,3.21,47.59,4.02,527055,Credit card,6.51,2.52,Toys
Flipkart Festive Sale in 2023,01/05/2023,Deal of the Day,2023,5955231.69,Sports,40.26,14303,5930,7,Facebook,8083000,0.55,28.46,3.16,847707,Credit card,6.5,4.18,Smartphone
Flipkart Big Billion Days Sale in 2025,06/03/2025,Festive Sale,2025,7973758.85,Fashion,66.45,unknown,8516,2,Facebook,8819000,4.36,29.51,1.29,650608,COD,9.56,4.16,book
Flipkart Flash Sale in 2024,2024-09-24,Deal of the Day,2024,8594190.9,electrnics,39.86,unknown,2455,6,Facebook,6816000,4.3,26.71,3.78,638482,Cash on Delivery,5,3.13,Books
Flipkart Deal of the Day in 2025,10/05/2025,Summer Sale,2025,6365523.42,,58.17,27140,4542,3,Instagram,8565000,4.35,31.13,0.92,290265,Cash on Delivery,13.61,4.7,Toyz
Flipkart Winter Sale in 2020,31/07/2020,Big Billion Days Sale,2020,1329689.95,,,26024,8494,5,flipkart,2390000,4.79,42.08,2.57,922989,UPI,7.84,2.68,Books
Flipkart GOAT Sale in 2025,20/05/2025,Big Billion Days Sale,2025,4644181.1,Home,16.23,36447,6455,6,Email,2102000,1.31,,4.77,38442,Credit card,3.52,3.59,Washing Machine
Flipkart Deal of the Day in 2020,24/03/2020,No Cost EMI Sale,2020,2321062.57,,,unknown,7856,2,Flipkart App,7992000,2.81,23.39,3.63,533256,Credit card,1.24,4.61,Toys
Flipkart Winter Sale in 2025,29/07/2025,Clearance Sale,2025,6239564.78,Groceries,N/A,unknown,2405,7,Instagram,4121000,2.76,42.89,4.06,937133,Debit Card,14.07,3.11,Toys
Flipkart Monsoon Sale in 2023,12/03/2023,Winter Sale,2023,9842806.51,Home,N/A,unknown,7284,1,flipkart,3292000,2.85,70.9,4.37,592553,UPI,8.99,4.76,Shoes
Flipkart Festive Sale in 2021,04/10/2021,Festive Sale,2021,9333763.42,Books,N/A,48993,3353,4,Instagram,6793000,2.66,56.02,1.14,341932,Cash on Delivery,1.64,4.27,book
Flipkart Clearance Sale in 2021,11/07/2021,Deal of the Day,2021,5223749.34,Books,,unknown,6907,2,FACEBOOK,5722000,4.8,31.31,2.63,279349,Credit card,14.79,4.01,Toyz
Flipkart Deal of the Day in 2025,23/02/2025,Flash Sale,2025,7471921.96,Toys,67.52,unknown,8869,3,Twitter,3488000,3.74,27.16,4.1,976735,COD,14.45,4.44,Toys
Flipkart Winter Sale in 2025,25/02/2025,Clearance Sale,2025,8265701.55,fashon,N/A,unknown,3825,3,Flipkart App,9717000,1.16,35.38,1.57,130228,Credit card,10.65,4.88,Shoes
Flipkart No Cost EMI Sale in 2022,28/12/2022,No Cost EMI Sale,2022,8611859.79,fashon,13.38,20126,1922,3,Whatsapp,3746000,4.49,64.92,3.4,362181,paytm,12.87,2.7,Toyz
Flipkart No Cost EMI Sale in 2021,26/09/2021,Clearance Sale,2021,,,,unknown,5993,1,Email,9270000,4.12,26.84,4.77,19323,Wallet,14.67,4.77,Toys
Flipkart Big Billion Days Sale in 2023,03/09/2023,Summer Sale,2023,2790409.29,fashon,,43478,7192,3,flipkart,572000,2.03,14.59,2.6,869462,Credit Card,1.12,4.58,Headphones
Flipkart Deal of the Day in 2023,30/09/2023,Big Billion Days Sale,2023,3665717.04,Groceries,,28388,912,2,Instagram,4291000,0.33,70.66,0.6,942568,Credit Card,4.28,2.96,Smartphone
Flipkart Festive Sale in 2023,28/12/2023,Big Billion Days Sale,2023,1609161.55,Electronics,N/A,unknown,8949,1,Whatsapp,1257000,4.48,35.16,4.56,266630,Cash on Delivery,14.1,3.99,book
Flipkart GOAT Sale in 2024,28/05/2024,Flash Sale,2024,9786957.36,electrnics,N/A,unknown,4520,6,Whatsapp,9094000,4.73,18.9,1.15,936496,Wallet,14.12,3.67,Toyz
Flipkart Flash Sale in 2023,2023-11-29,Summer Sale,2023,4883443.75,fashon,,unknown,9393,7,flipkart,8036000,3.72,72.98,0.54,879630,Credit Card,4.41,3.3,smrtphone
Flipkart Winter Sale in 2025,06/08/2025,Clearance Sale,2025,4685318.97,Electronics,N/A,7427,3379,7,Instagram,7269000,0.94,11.14,2.01,177870,Debit Card,1.87,4.42,Books
Flipkart No Cost EMI Sale in 2025,2025-10-08,GOAT Sale,2025,9097344.71,fashon,N/A,21010,759,7,Instagram,1060000,4.01,36.8,2.67,522578,Debit Card,14.17,2.99,Books
Flipkart Summer Sale in 2021,23/07/2021,Clearance Sale,2021,7107778.57,electrnics,,5437,1676,6,Whatsapp,5201000,4.58,32.94,0.94,41927,Wallet,11.35,3.57,Washing Machine
Flipkart GOAT Sale in 2023,2023-11-21,Winter Sale,2023,3967261.52,Toys,N/A,unknown,1894,4,Twitter,1199000,1.92,10.77,1.17,405041,Credit card,3.01,4.42,Shoes
Flipkart Festive Sale in 2022,22/01/2022,Deal of the Day,2022,3204824.13,Home,N/A,23168,9089,7,FACEBOOK,9040000,2.31,68.9,1.71,480256,Credit Card,9.18,2.58,smrtphone
Flipkart Deal of the Day in 2024,13/10/2024,Clearance Sale,2024,7635193.18,Electronics,N/A,unknown,7030,6,Whatsapp,9457000,3.98,44.58,4.6,641340,COD,4.72,3.79,Perfume
Flipkart Deal of the Day in 2023,13/12/2023,Flash Sale,2023,,Books,,20848,4600,2,Facebook,9000000,4.48,75.23,3.14,428956,paytm,3.76,3.3,Laptop
Flipkart Festive Sale in 2020,25/01/2020,GOAT Sale,2020,,Electronics,N/A,unknown,1292,7,flipkart,5370000,2.65,34.78,2.17,766795,Cash on Delivery,15,4.96,Shoes
Flipkart Big Billion Days Sale in 2024,12/08/2024,GOAT Sale,2024,6287376.46,electrnics,,unknown,5225,6,Facebook,7669000,3.2,29.38,2.03,598529,paytm,12.15,4.32,smrtphone
Flipkart Winter Sale in 2023,26/12/2023,No Cost EMI Sale,2023,9220469.51,electrnics,N/A,27538,734,1,FACEBOOK,1499000,2.62,57.48,2.91,888533,paytm,3.69,4.47,Laptop
Flipkart Flash Sale in 2022,14/04/2022,Winter Sale,2022,799438.13,Beauty,35.34,42656,5535,3,FACEBOOK,972000,1.01,30.65,4.69,962163,Wallet,14.47,3.69,book
Flipkart Festive Sale in 2020,28/11/2020,No Cost EMI Sale,2020,7491558.34,Sports,,unknown,7209,6,Twitter,630000,2.54,20.24,0.7,465158,paytm,5.01,3.99,Headphones
Flipkart Festive Sale in 2022,2022-11-07,Deal of the Day,2022,9729038.88,Sports,,25923,3947,4,flipkart,5485000,4.95,40.84,3.62,851966,COD,12.4,,Toys
Flipkart Winter Sale in 2024,08/11/2024,Summer Sale,2024,6971550.34,electrnics,33.39,unknown,1436,1,flipkart,8911000,1.37,42.24,3.24,622831,UPI,7.9,2.58,Toyz
Flipkart Flash Sale in 2021,27/01/2021,Flash Sale,2021,269187.46,Sports,N/A,32528,2863,4,Flipkart App,5446000,1.67,39.72,2.83,453273,UPI,5.56,4.58,Laptop
Flipkart Monsoon Sale in 2024,08/08/2024,Summer Sale,2024,4423006.83,Fashion,21.21,32362,1000,3,FACEBOOK,5437000,0.56,60.94,4.65,830497,Wallet,12.44,4.06,book
Flipkart No Cost EMI Sale in 2022,24/02/2022,Monsoon Sale,2022,3664633.48,,,44740,1909,2,Flipkart App,8478000,0.14,58.98,2.15,77653,Debit Card,14.04,4.43,Smartphone
Flipkart Winter Sale in 2022,,Festive Sale,2022,4867603.85,Electronics,65.64,unknown,2136,5,flipkart,1282000,1.77,67.11,1.92,253553,paytm,6.88,4.32,smrtphone
Flipkart Winter Sale in 2022,2022-12-11,No Cost EMI Sale,2022,6063727.52,Home,35.87,44030,9429,5,Flipkart App,3189000,1.34,12.23,4.82,235225,Wallet,9.56,3.6,smrtphone
Flipkart Flash Sale in 2023,26/07/2023,Monsoon Sale,2023,,Sports,,unknown,2562,1,,9337000,4.75,,1.57,793007,Credit Card,1.89,3.9,Perfume
Flipkart Monsoon Sale in 2024,07/05/2024,Winter Sale,2024,4290365.97,Home,,unknown,1803,3,Facebook,8642000,2.67,62.32,2.15,170963,Credit card,1.41,3.17,Perfume
Flipkart Deal of the Day in 2022,2022-07-16,Summer Sale,2022,3476857.42,fashon,N/A,48223,2095,1,Instagram,7757000,1.19,23.53,2.12,16539,Wallet,7.35,4.6,Toyz
Flipkart Festive Sale in 2021,07/01/2021,GOAT Sale,2021,2943382.33,Home,,22811,5389,5,Instagram,2374000,3.83,55.76,1.42,18793,Debit Card,13.5,3.47,smrtphone
Flipkart No Cost EMI Sale in 2024,09/09/2024,Monsoon Sale,2024,5291940.19,Sports,N/A,unknown,8838,6,Instagram,1441000,2.22,16.21,3.54,755894,COD,14.55,2.78,Laptop
Flipkart Flash Sale in 2024,21/08/2024,GOAT Sale,2024,1998197.15,,N/A,44479,2327,7,Flipkart App,5410000,1.16,48.17,3.18,804711,Cash on Delivery,6.43,2.53,Toyz
Flipkart Summer Sale in 2023,20/09/2023,Winter Sale,2023,6571833.84,Books,,5510,2461,1,Twitter,4384000,1.62,12.06,1.84,611763,Cash on Delivery,11.93,4.53,Laptop
Flipkart Clearance Sale in 2025,14/08/2025,Festive Sale,2025,,Home,,34308,7796,7,Email,6712000,0.67,60.39,2.16,266977,Credit card,12.5,4.36,Perfume
Flipkart Big Billion Days Sale in 2023,01/01/2023,Monsoon Sale,2023,9303777.44,Electronics,15.28,unknown,6200,5,flipkart,7010000,3.33,76.85,1.58,319734,Debit Card,1.34,4.92,Toyz
Flipkart Monsoon Sale in 2020,02/11/2020,No Cost EMI Sale,2020,768161.95,Home,N/A,unknown,3570,5,Flipkart App,9448000,2.48,40.73,3.87,781449,Wallet,12.41,4.82,Toys
Flipkart Winter Sale in 2021,17/01/2021,Flash Sale,2021,,Books,,36923,7179,3,Twitter,4772000,2.37,45.85,2.12,412465,,2.18,3.51,Toys
Flipkart GOAT Sale in 2025,24/11/2025,Deal of the Day,2025,4407973.2,,,unknown,9397,2,Flipkart App,3306000,1.92,77.89,4.4,174684,Credit Card,10.23,4.82,Laptop
Flipkart Festive Sale in 2024,05/12/2024,Monsoon Sale,2024,5843165.12,Books,N/A,7351,2491,7,Twitter,7127000,1.83,10.61,2.36,99700,Credit Card,5.95,4.25,smrtphone
Flipkart Clearance Sale in 2024,09/10/2024,Flash Sale,2024,9645291.48,,N/A,unknown,3864,5,flipkart,5345000,2.99,14.73,1.75,967352,COD,5.81,2.77,Toys
Flipkart Flash Sale in 2025,2025-06-06,Big Billion Days Sale,2025,1244214.62,Home,N/A,unknown,8981,4,Instagram,1073000,2.05,21.22,4.29,368886,COD,10.39,3.82,Laptop
Flipkart Winter Sale in 2024,28/07/2024,Monsoon Sale,2024,4018545.59,Toys,N/A,30440,9506,3,FACEBOOK,3492000,0.86,60.86,1,750170,UPI,13.22,3.62,Toys
Flipkart Clearance Sale in 2025,10/01/2025,Winter Sale,2025,8907108.62,,,20249,9544,6,Email,3172000,3.8,66.32,0.54,327555,Credit card,3.66,4.15,Books
Flipkart Summer Sale in 2023,16/11/2023,Deal of the Day,2023,9956865.28,Fashion,,unknown,1279,2,Whatsapp,7106000,4.88,38.24,3.38,254859,Wallet,1.69,3.8,Books
Flipkart Flash Sale in 2023,10/09/2023,Deal of the Day,2023,1700300.64,Home,N/A,unknown,2031,2,Twitter,5276000,3.2,22.49,0.56,356178,paytm,12.37,3.37,Books
Flipkart Clearance Sale in 2022,03/02/2022,GOAT Sale,2022,3131138.13,electrnics,N/A,,6117,6,Flipkart App,8054000,0.27,38.14,4.31,125280,Wallet,5.46,3.74,book
Flipkart No Cost EMI Sale in 2021,31/01/2021,Deal of the Day,2021,624546.84,Home,N/A,16408,3004,1,Whatsapp,5682000,1.73,24.9,1.16,494017,COD,10.25,3.28,Shoes
Flipkart Flash Sale in 2024,06/11/2024,No Cost EMI Sale,2024,3678041.2,,,unknown,1037,3,Flipkart App,9118000,0.51,34.84,1.71,491007,Debit Card,6.5,4.6,Perfume
Flipkart Big Billion Days Sale in 2021,10/05/2021,Winter Sale,2021,,,N/A,unknown,620,6,Facebook,9878000,4.16,16.97,0.85,261098,COD,7.22,3.52,book
Flipkart Festive Sale in 2021,29/12/2021,Monsoon Sale,2021,4000630.03,Books,N/A,unknown,7925,5,Instagram,3512000,1.42,64.14,1.25,962070,Wallet,7.82,2.88,Shoes
Flipkart Big Billion Days Sale in 2024,30/11/2024,Summer Sale,2024,963946.84,Sports,,unknown,7605,2,flipkart,1033000,1.34,36.55,0.69,518944,Cash on Delivery,7.21,3.84,Headphones
Flipkart Winter Sale in 2021,27/09/2021,Festive Sale,2021,6759480.26,Electronics,N/A,unknown,7226,3,FACEBOOK,7581000,,71.6,3.96,640208,Cash on Delivery,7.09,3.53,Laptop
Flipkart Big Billion Days Sale in 2023,25/07/2023,Festive Sale,2023,3357613.54,,N/A,25771,2358,6,flipkart,7223000,1.64,61.97,3.11,340350,Wallet,5.63,4.06,Smartphone
Flipkart Monsoon Sale in 2024,23/08/2024,Monsoon Sale,2024,7700919.3,Electronics,N/A,unknown,4784,1,Twitter,4763000,2.24,48.77,3.46,475772,COD,10.43,4.03,Books
Flipkart No Cost EMI Sale in 2023,2023-09-09,Flash Sale,2023,9382733.95,,,unknown,8499,5,Twitter,3917000,3.96,74.17,3.09,292399,UPI,11.14,4.15,Shoes
Flipkart Big Billion Days Sale in 2023,07/03/2023,Monsoon Sale,2023,5475009.57,fashon,53.8,unknown,3315,2,Facebook,8085000,3.39,,3.06,443646,Wallet,2.17,3.1,book
Flipkart No Cost EMI Sale in 2024,30/06/2024,Summer Sale,2024,2754389.06,Fashion,57.75,unknown,1653,6,Facebook,8713000,2.96,49.53,3.2,852572,Wallet,11.97,4.24,Books
Flipkart Flash Sale in 2025,21/09/2025,No Cost EMI Sale,2025,1871915.7,Beauty,,unknown,2894,2,Twitter,3275000,0.23,34.41,3.57,601996,Wallet,6.04,3.98,Smartphone
Flipkart Clearance Sale in 2024,26/11/2024,Summer Sale,2024,7497376.56,Books,N/A,unknown,305,3,Whatsapp,5908000,1.32,76.68,,14012,Cash on Delivery,1.12,4.74,Shoes
Flipkart Clearance Sale in 2024,25/04/2024,Winter Sale,2024,4270219.48,,N/A,28159,1221,5,Email,1855000,2.38,35.21,0.65,54276,COD,12.31,2.56,Washing Machine
Flipkart GOAT Sale in 2021,17/11/2021,No Cost EMI Sale,2021,6581949.61,Electronics,N/A,35432,5930,5,Facebook,4346000,1.57,59.62,0.57,830265,Debit Card,11.29,4.16,Headphones
Flipkart Winter Sale in 2022,22/05/2022,Monsoon Sale,2022,4609172.67,,,unknown,3126,3,Twitter,6756000,4.72,39.7,1.86,502890,COD,5.48,2.82,Toyz
,03/06/2022,Deal of the Day,2022,9616472.38,Sports,17.67,unknown,4797,1,Flipkart App,4073000,5,33.75,4.32,308288,Wallet,11.13,4.53,Laptop
Flipkart Flash Sale in 2023,15/02/2023,Summer Sale,2023,7738947.1,Sports,37.53,3014,4779,1,Whatsapp,6243000,4.15,73.59,4.36,553128,UPI,1.39,4.62,smrtphone
